I-5-6:I506,I동 5층 6호
I-5-7:I507,I동 5층 7호
I-5-14:I514,I동 5층 14호
I-5-8:I508,I동 5층 8호
I-5-15:I515,I동 5층 15호
I-5-9:I509,I동 5층 9호
I-5-10:I510,I동 5층 10호
I-5-12:I512,I동 5층 12호
I-4-1:I401,I동 4층 1호
I-4-3:I403,I동 4층 3호
I-4-5:I405,I동 4층 5호
I-4-6:I406,I동 4층 6호
I-4-7:I407,I동 4층 7호
I-4-8:I408,I동 4층 8호
I-4-14:I414,I동 4층 14호
I-4-9:I409,I동 4층 9호
I-4-10:I410,I동 4층 10호
I-4-13:I413,I동 4층 13호
I-4-12:I412,I동 4층 12호
I-3-1:I301,I동 3층 1호
I-3-2:I302,I동 3층 2호
I-3-3:I303,I동 3층 3호
I-3-5:I305,I동 3층 5호
I-3-6:I306,I동 3층 6호
I-3-13:I313,I동 3층 13호
I-3-14:I314,I동 3층 14호
I-3-7:I307,I동 3층 7호
I-3-8:I308,I동 3층 8호
I-3-9:I309,I동 3층 9호
I-3-10:I310,I동 3층 10호
I-3-11:I311,I동 3층 11호
I-3-12:I312,I동 3층 12호
I-2-1:I201,I동 2층 1호
I-2-2:I202,I동 2층 2호
I-2-3:I203,I동 2층 3호
I-2-4:I204,I동 2층 4호
I-2-5:I205,I동 2층 5호
I-2-6:I206,I동 2층 6호
I-2-7:I207,I동 2층 7호
I-2-13:I213,I동 2층 13호
I-2-8:I208,I동 2층 8호
I-2-10:I210,I동 2층 10호
I-2-11:I211,I동 2층 11호
I-2-12:I212,I동 2층 12호
I-1-1:I101,I동 1층 1호
I-1-7:I107,I동 1층 7호
I-1-8:I108,I동 1층 8호
I-1-9:I109,I동 1층 9호
J-B1-1:JB101,J동 B1층 1호
J-1-1:J101,J동 1층 1호
J-1-2:J102,J동 1층 2호
J-1-3:J103,J동 1층 3호
J-1-4:J104,J동 1층 4호
J-2-1:J201,J동 2층 1호
J-2-2:J202,J동 2층 2호
J-2-3:J203,J동 2층 3호
J-2-4:J204,J동 2층 4호
J-3-1:J301,J동 3층 1호
J-3-2:J302,J동 3층 2호
J-3-3:J303,J동 3층 3호
J-3-4:J304,J동 3층 4호
K-B1-18:KB118,K동 B1층 18호
K-B1-17:KB117,K동 B1층 17호
K-B1-16:KB116,K동 B1층 16호
K-B1-19:KB119,K동 B1층 19호
K-B1-20:KB120,K동 B1층 20호
K-B1-21:KB121,K동 B1층 21호
K-B1-22:KB122,K동 B1층 22호
K-B1-23:KB123,K동 B1층 23호
K-B1-24:KB124,K동 B1층 24호
K-B1-25:KB125,K동 B1층 25호
K-B1-26:KB126,K동 B1층 26호
K-B1-11:KB111,K동 B1층 11호
K-B1-12:KB112,K동 B1층 12호
K-1-16:K116,K동 1층 16호
K-1-15:K115,K동 1층 15호
